Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3245063922,Saxon AI,Data Architect,Data Architect,NULL,null,"San Francisco, CA",224935,NULL,Contract,0,null,null,null,Engineering,IT Services and IT Consulting
3398076960,NULL,Technical Product and IT Manager for Data Center Dedicated Server Leasing,Other,225000,YEARLY,United States,NULL,85000,Full-time,1,null,BASE_SALARY,155000,Product Management,NULL
3540371917,KeyBank,Enterprise Data & Analytics Infrastructure Manager,Other,NULL,null,"Cleveland, OH",3252,NULL,Full-time,0,null,null,null,Information Technology,Banking
3742692445,ZenithMinds Inc,Sr Data Engineer with Kafka,Data Engineer,NULL,null,"Austin, TX",81941852,NULL,Full-time,1,null,null,null,NULL,IT Services and IT Consulting
3792233622,PB Built,Receptionist/Data Entry,Data Entry,NULL,HOURLY,"Jupiter, FL",2331524,NULL,Full-time,0,null,BASE_SALARY,45760,NULL,Construction
3797449314,"Subaru Research and Development, Inc",Cloud Platform/ Big Data Engineer,Data Engineer,NULL,null,"Michigan, United States",91080439,NULL,Full-time,0,Entry level,null,null,Engineering,IT Services and IT Consulting
3800272386,Sovrinti,Data Science Software Engineer,Data Engineer,NULL,null,United States,80936343,NULL,Full-time,1,null,null,null,NULL,IT Services and IT Consulting
3800989742,SilverSpace Technologies Inc,Data Engineer/ETL,Data Engineer,NULL,null,"Hartford, CT",71373471,NULL,Contract,0,null,null,null,Information Technology,IT Services and IT Consulting
3813645405,Tenazx Inc,Data Analyst,Data Analyst,NULL,null,"Queens, NY",82537206,NULL,Contract,0,null,null,null,Information Technology,"Technology, Information and Internet"
3841003722,NULL,Senior Data Engineer/Analyst - Full Time,Data Analyst,107,HOURLY,"California, United States",NULL,101,Full-time,1,null,BASE_SALARY,216320,Information Technology,NULL
3847143087,MDI Imaging & Mail,Data Processor,Other,65000,YEARLY,"Cascades, VA",403183,55000,Full-time,0,null,BASE_SALARY,60000,Administrative,Advertising Services
3872787865,Radiant Systems Inc,eCommerce Data Analyst,Data Analyst,NULL,null,United States,3342169,NULL,Contract,1,null,null,null,Information Technology,IT Services and IT Consulting
3880157614,Acro Service Corp,Data Entry Specialist,Data Entry,16,HOURLY,"Phoenix, AZ",50861,16,Full-time,0,Entry level,BASE_SALARY,33280,Accounting/Auditing,Government Administration
3884426975,Publicis Sapient,Azure Data Engineer (Full time),Data Engineer,145000,YEARLY,"Arlington, VA",10801655,95000,Full-time,0,Mid-Senior level,BASE_SALARY,120000,Information Technology,Business Consulting and Services
3884430601,Ledgent Technology,Database Administrator (BOCA RATON),Other,105000,YEARLY,"Boca Raton, FL",10592585,90000,Full-time,0,Entry level,BASE_SALARY,97500,Information Technology,IT Services and IT Consulting
3884430616,EPITEC,Data Management Analyst,Data Analyst,47,HOURLY,United States,25461,37,Contract,1,Entry level,BASE_SALARY,87360,Information Technology,IT Services and IT Consulting
3884430958,Quigley-Simpson,"Senior Analyst, Data & Analytics",Data Analyst,93000,YEARLY,Los Angeles Metropolitan Area,77117,90000,Full-time,0,Mid-Senior level,BASE_SALARY,91500,Advertising,Advertising Services
3884431580,"Econtenti, Inc",Azure Data Engineer,Data Engineer,4652,MONTHLY,"Seattle, WA",2329852,3718,Full-time,0,null,BASE_SALARY,null,Information Technology,Software Development
3884435029,Aquent,Data Entry Specialist,Data Entry,24,YEARLY,San Francisco Bay Area,4433,20,Contract,1,Associate,BASE_SALARY,22,Administrative,Retail
3884442367,Photon,Data Architect,Data Architect,80000,YEARLY,"Louisville, KY",165464,70000,Contract,0,Mid-Senior level,BASE_SALARY,null,Engineering,IT Services and IT Consulting
3884819737,Acro Service Corp,Data Analyst,Data Analyst,40,HOURLY,"Orlando, FL",50861,40,Contract,0,Mid-Senior level,BASE_SALARY,83200,Information Technology,Government Administration
3884853428,Live Nation Entertainment,Data Architect,Data Architect,180000,YEARLY,"West Hollywood, CA",6593,144000,Full-time,1,Mid-Senior level,BASE_SALARY,162000,Engineering,Entertainment Providers
