Income,Income Class,Kids,Teens,Recency,Wines,Fruits,Meat,Fish,Sweet,Gold,DealsPurchases,WebPurchases,CatalogPurchases,StorePurchases,WebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Age Class,Customer_Days,Marital Status,Education,MntTotal,MntRegularProds,AcceptedCmpOverall
7500,Lower,0,0,24,3,18,14,15,22,50,3,3,1,3,9,No,No,No,No,No,No,3,11,1,24,Young,2756,Married,2nd Cycle,72,22,0
14421,Lower,0,0,81,0,0,2,3,3,8,1,1,0,2,5,Yes,No,No,No,No,No,3,11,0,24,Young,2291,Married,Basic,8,0,1
34824,Lower-middle,0,0,65,4,2,11,2,0,4,1,1,0,2,6,No,No,No,No,No,No,3,11,0,25,Young,2254,Single,Graduation,19,15,0
71163,Middle,0,0,30,283,17,372,138,106,44,1,3,8,12,1,No,No,No,No,No,No,3,11,0,25,Young,2271,Single,Graduation,916,872,0
34824,Lower-middle,0,0,65,4,2,11,2,0,4,1,1,0,2,6,No,No,No,No,No,No,3,11,0,25,Young,2254,Single,Graduation,19,15,0
83257,Middle,0,0,56,536,27,590,38,107,67,1,5,10,12,6,Yes,No,Yes,No,No,Yes,3,11,1,25,Young,2808,Single,2nd Cycle,1298,1231,2
80617,Middle,0,0,42,594,51,631,72,55,32,1,4,6,8,2,No,No,No,No,No,No,3,11,0,25,Young,2784,Single,2nd Cycle,1403,1371,0
80134,Middle,0,0,11,966,26,282,52,26,26,1,2,7,11,5,No,Yes,Yes,Yes,Yes,No,3,11,0,26,Young,2294,Together,Graduation,1352,1326,4
95529,Upper-middle,0,0,29,770,29,890,250,27,24,1,7,3,7,3,No,No,Yes,No,No,No,3,11,1,26,Young,2732,Single,Graduation,1966,1942,1
80685,Middle,0,0,55,241,45,604,34,26,54,1,6,4,10,2,No,No,No,No,No,No,3,11,0,26,Young,2835,Together,Graduation,950,896,0
74293,Middle,0,0,66,375,152,335,93,91,81,1,5,4,6,2,No,No,No,No,No,No,3,11,0,27,Young,2215,Single,Graduation,1046,965,0
72354,Middle,0,0,67,315,26,473,220,12,182,1,2,10,6,1,No,No,No,No,No,No,3,11,0,27,Young,2597,Single,Graduation,1046,864,0
74293,Middle,0,0,66,375,152,335,93,91,81,1,5,4,6,2,No,No,No,No,No,No,3,11,0,27,Young,2215,Single,Graduation,1046,965,0
70515,Middle,0,0,12,420,0,452,182,64,140,1,6,6,4,2,No,No,No,No,No,No,3,11,1,27,Young,2410,Single,Graduation,1118,978,0
79244,Middle,0,0,58,471,102,125,212,61,245,1,4,10,7,1,No,No,Yes,Yes,No,No,3,11,1,27,Young,2716,Single,Graduation,971,726,2
92859,Middle,0,0,46,962,61,921,52,61,20,1,5,4,12,2,No,No,No,No,No,No,3,11,0,28,Young,2777,Single,Master,2057,2037,0
42670,Lower-middle,0,0,12,154,2,46,20,4,15,1,4,2,4,4,No,No,No,No,No,No,3,11,0,28,Young,2587,Together,Master,226,211,0
34935,Lower-middle,0,0,71,34,4,66,3,10,20,1,2,1,4,7,No,No,No,No,No,No,3,11,0,28,Young,2532,Married,Graduation,117,97,0
48789,Lower-middle,0,0,94,351,16,156,7,5,145,1,6,4,7,6,No,No,No,No,No,No,3,11,0,28,Young,2816,Single,Graduation,535,390,0
75114,Middle,0,0,40,571,12,523,63,60,24,1,3,10,5,2,No,No,No,No,No,No,3,11,0,28,Young,2393,Together,Graduation,1229,1205,0
83528,Middle,0,0,7,530,117,678,134,44,147,1,4,10,8,1,Yes,No,No,Yes,No,No,3,11,1,28,Young,2218,Single,Graduation,1503,1356,2
7500,Lower,1,0,63,10,17,18,8,26,40,4,3,2,2,9,No,No,No,No,No,No,3,11,0,28,Young,2732,Single,Basic,79,39,0
17256,Lower,1,0,10,6,4,14,8,8,22,2,2,1,2,8,Yes,No,No,No,No,No,3,11,0,28,Young,2377,Married,Basic,40,18,1
34935,Lower-middle,0,0,71,34,4,66,3,10,20,1,2,1,4,7,No,No,No,No,No,No,3,11,0,28,Young,2532,Married,Graduation,117,97,0
18746,Lower,1,0,41,2,10,11,12,9,20,2,3,0,3,6,No,No,No,No,No,No,3,11,0,28,Young,2190,Single,Basic,44,24,0
63207,Middle,0,0,68,438,169,565,91,169,70,1,2,3,6,7,No,No,No,Yes,No,No,3,11,0,28,Young,2684,Together,Graduation,1432,1362,1
87000,Middle,0,0,61,196,25,607,67,17,49,1,4,6,7,2,No,No,No,No,No,No,3,11,0,28,Young,2720,Married,2nd Cycle,912,863,0
15253,Lower,1,0,13,1,3,3,8,1,13,2,1,0,3,7,No,No,No,No,No,No,3,11,0,28,Young,2403,Single,Basic,16,3,0
68126,Middle,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,No,Yes,No,No,No,No,3,11,1,29,Young,2755,Single,PhD,1734,1648,1
86037,Middle,0,0,95,490,44,125,29,20,22,1,6,7,11,3,No,Yes,Yes,No,No,No,3,11,1,29,Young,2702,Single,Graduation,708,686,2
68682,Middle,0,0,56,919,0,505,99,30,45,1,4,9,10,2,No,No,No,No,No,No,3,11,0,29,Young,2425,Together,PhD,1553,1508,0
42691,Lower-middle,0,0,48,179,2,64,38,17,58,1,5,1,6,5,No,No,No,No,No,No,3,11,0,29,Young,2476,Married,Graduation,300,242,0
89891,Middle,0,0,17,412,22,132,59,28,183,1,11,6,8,4,No,No,Yes,No,No,No,3,11,0,29,Young,2599,Together,Graduation,653,470,1
61618,Middle,0,0,27,605,91,399,0,45,205,2,3,6,8,3,No,No,No,No,No,No,3,11,0,29,Young,2797,Single,2nd Cycle,1140,935,0
26868,Lower,1,0,52,0,0,1,8,3,2,1,1,0,2,7,No,No,No,No,No,No,3,11,0,29,Young,2219,Single,Basic,12,10,0
8028,Lower,0,0,62,73,18,66,7,12,2,15,0,1,0,19,No,No,No,No,No,No,3,11,0,29,Young,2808,Single,Graduation,176,174,0
90638,Middle,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,No,No,Yes,No,No,No,3,11,0,29,Young,2295,Single,Master,2429,2333,1
68682,Middle,0,0,56,919,0,505,99,30,45,1,4,9,10,2,No,No,No,No,No,No,3,11,0,29,Young,2425,Together,PhD,1553,1508,0
90638,Middle,0,0,29,1156,120,915,94,144,96,1,3,4,10,1,No,No,Yes,No,No,No,3,11,1,29,Young,2295,Single,Master,2429,2333,1
